x,y,u,v,u0,v0,ZNCC,iteration,convergence,feature
120,80,-0.42750183,-4.02492714,-0.41667616,-4.00987864,0.99644798,4,0.00020221,42
122,80,-0.43208453,-4.01919985,-0.41911185,-4.00923824,0.99633366,4,0.00030442,42
124,80,-0.42979902,-4.01769257,-0.41722211,-4.01245737,0.99640507,4,0.00029562,36
126,80,-0.42967901,-4.01480389,-0.41778648,-4.01538849,0.99650604,4,0.00031102,37
128,80,-0.43005204,-4.01265001,-0.42376515,-4.01824236,0.9964692,4,0.00021105,40
130,80,-0.43170941,-4.01417255,-0.42474452,-4.01885176,0.99617469,3,0.00077888,38
132,80,-0.43597063,-4.01756287,-0.42506889,-4.02037001,0.9962135,4,0.00027071,41
134,80,-0.43440497,-4.0163784,-0.42311814,-4.01386023,0.99625856,3,0.00088977,42
136,80,-0.43939459,-4.01292801,-0.42558011,-4.01661491,0.99628824,3,0.00054479,41
138,80,-0.43812361,-4.01511145,-0.43007463,-4.0189929,0.99643975,3,0.00086111,46
140,80,-0.43877932,-4.01679087,-0.43269438,-4.01989126,0.99674964,3,0.0005294,45
142,80,-0.43469578,-4.01892805,-0.43280089,-4.01894331,0.99675488,4,0.0002183,40
144,80,-0.43680075,-4.02099562,-0.4422183,-4.02905846,0.99676979,4,0.00015647,43
146,80,-0.4379355,-4.02206469,-0.44627196,-4.02880669,0.9966855,4,0.00030409,43
148,80,-0.43260381,-4.02212334,-0.4495284,-4.03336143,0.99668461,4,0.00023172,44
150,80,-0.4362171,-4.02187347,-0.45038745,-4.03179026,0.99673724,4,0.00018761,42
152,80,-0.43657017,-4.02098751,-0.45281577,-4.03156567,0.996867,3,0.00096421,43
154,80,-0.43466067,-4.01955032,-0.45526949,-4.03010273,0.99712902,4,0.00018007,42
156,80,-0.43542099,-4.01822472,-0.45831928,-4.03553391,0.99715751,4,0.00019318,44
158,80,-0.43742293,-4.01827717,-0.46045434,-4.03708744,0.99711311,3,0.00089144,41
160,80,-0.44005573,-4.01911736,-0.4518216,-4.03468275,0.99707615,3,0.00045154,41
162,80,-0.44136775,-4.02062273,-0.45503384,-4.03302908,0.99705791,3,0.0005896,40
164,80,-0.4433369,-4.01666069,-0.45683235,-4.03457355,0.99712402,4,0.00026725,40
166,80,-0.44687587,-4.01736689,-0.45861784,-4.03295708,0.99711341,3,0.00071821,41
168,80,-0.44681194,-4.01867199,-0.45496568,-4.03203201,0.9970597,3,0.00059312,46
170,80,-0.45015869,-4.01723146,-0.45601708,-4.02862167,0.99698323,3,0.00092856,47
172,80,-0.44856852,-4.02021265,-0.4557707,-4.02614641,0.99686992,3,0.00085833,47
174,80,-0.4508402,-4.02033949,-0.45715284,-4.02793217,0.99699175,3,0.0006368,46
176,80,-0.45269546,-4.01684952,-0.45628819,-4.02968168,0.99688333,4,0.00026492,49
178,80,-0.45484421,-4.01610756,-0.45780516,-4.02919436,0.99687755,4,0.00018796,48
180,80,-0.4501445,-4.01499081,-0.45443347,-4.02998209,0.99687368,3,0.00097499,47
182,80,-0.454137,-4.01499557,-0.45297831,-4.03130722,0.99686766,4,0.00021914,50
184,80,-0.4470655,-4.01205301,-0.45335972,-4.02835131,0.99673426,4,0.00023384,50
186,80,-0.44841403,-4.01295519,-0.45372829,-4.02142143,0.99660665,4,0.00019618,49
188,80,-0.44966,-4.01506281,-0.45560405,-4.01998377,0.99636322,3,0.00076141,51
190,80,-0.45085627,-4.01297569,-0.45687839,-4.02433729,0.99630159,3,0.00049956,50
