x,y,u,v,u0,v0,ZNCC,iteration,convergence,feature,exx,eyy,exy
80,406,-0.32902017,-3.17349815,0,-3,0.9965474,4,0.00037424,0,-0.00148276,0.00313548,-0.00117839
82,406,-0.33210251,-3.18342805,0,-3,0.99654037,4,0.00039263,0,-0.00142344,0.00304503,-0.00130138
84,406,-0.33539894,-3.19248867,0,-3,0.99646759,4,0.00039927,0,-0.00135326,0.0029421,-0.00141652
86,406,-0.33488229,-3.20260668,0,-3,0.99645472,4,0.0005521,0,-0.00130148,0.00282933,-0.00151778
88,406,-0.337744,-3.21482491,0,-3,0.99660337,4,0.00040842,0,-0.00124168,0.00270684,-0.00159905
90,406,-0.34083822,-3.22742391,0,-3,0.99660474,4,0.00052763,0,-0.00119359,0.00257153,-0.00166083
92,406,-0.34393117,-3.23761845,0,-3,0.99655765,4,0.00051459,0,-0.00114476,0.00242763,-0.00170303
94,406,-0.3470546,-3.24833202,0,-3,0.99640596,4,0.00045367,0,-0.00109659,0.00227748,-0.00172121
96,406,-0.35040835,-3.26123905,0,-3,0.99628639,4,0.00060993,0,-0.00103747,0.00212378,-0.00171986
98,406,-0.34967759,-3.27247453,0,-3,0.99625778,4,0.00045971,0,-0.00099634,0.00196787,-0.00170536
100,406,-0.35084385,-3.28442502,0,-3,0.99615145,4,0.00042738,0,-0.00097739,0.00180874,-0.00167684
102,406,-0.35192284,-3.2972486,0,-3,0.99581522,4,0.00058996,0,-0.00097526,0.00165207,-0.00164203
104,406,-0.35570467,-3.30915594,0,-3,0.99556363,4,0.00067297,0,-0.00098514,0.00150008,-0.00158491
106,406,-0.35629064,-3.31956911,0,-3,0.99539346,4,0.00069971,0,-0.00099598,0.00135105,-0.00151385
108,406,-0.35954562,-3.33070207,0,-3,0.99521208,4,0.00078419,0,-0.00101952,0.0012119,-0.00142874
110,406,-0.36279118,-3.34144378,0,-3,0.99496633,4,0.00085051,0,-0.0010454,0.00108254,-0.00133514
112,406,-0.36464828,-3.350564,0,-3,0.99477184,4,0.00086907,0,-0.00107607,0.00095982,-0.00122915
114,406,-0.36435083,-3.35910988,0,-3,0.99487317,4,0.00072347,0,-0.00111179,0.00084563,-0.00111487
116,406,-0.36737663,-3.36822557,0,-3,0.99498451,4,0.00084967,0,-0.00116761,0.00074094,-0.00100146
118,406,-0.36927149,-3.37536812,0,-3,0.99498516,4,0.0008358,0,-0.00123017,0.00064948,-0.00088968
120,406,-0.37149298,-3.38469529,0,-3,0.9947961,4,0.00070873,0,-0.00133364,0.00053481,-0.0008262
122,406,-0.37601042,-3.39057946,0,-3,0.99486172,4,0.00085959,0,-0.00143784,0.00041023,-0.00078713
124,406,-0.37848598,-3.3962431,0,-3,0.99492466,4,0.00073481,0,-0.00153618,0.00032041,-0.00073925
126,406,-0.38202068,-3.40089869,0,-3,0.99491656,4,0.00086472,0,-0.00160415,0.000258,-0.00066769
128,406,-0.38377881,-3.40538764,0,-3,0.99501789,4,0.00054111,0,-0.00166006,0.00021432,-0.00057607
130,406,-0.38553616,-3.40935135,0,-3,0.9951635,4,0.0007203,0,-0.00179396,0.00015304,-0.00058819
132,406,-0.38607639,-3.41243839,0,-3,0.9954198,4,0.00039278,0,-0.00183622,0.00012605,-0.00051846
134,406,-0.39009768,-3.41443253,0,-3,0.99552214,4,0.00046386,0,-0.00185968,0.00010435,-0.00045191
136,406,-0.39669836,-3.41687083,0,-3,0.99586982,4,0.00033121,0,-0.00189026,0.00008807,-0.00038839
138,406,-0.39828324,-3.41900921,0,-3,0.99602079,4,0.00029167,0,-0.0019087,0.00007124,-0.00033463
140,406,-0.40066916,-3.41950703,0,-3,0.99601632,4,0.00037919,0,-0.0019207,0.00005775,-0.00028185
142,406,-0.40609908,-3.41959023,0,-3,0.99601233,4,0.00039423,0,-0.00197195,0.00008397,-0.00020602
144,406,-0.40971521,-3.41886187,0,-3,0.99610335,4,0.00047517,0,-0.00203075,0.00014024,-0.00012358
146,406,-0.4149715,-3.418818,0,-3,0.99604458,4,0.00052178,0,-0.00208284,0.0001785,-0.00003636
148,406,-0.41762671,-3.41758394,0,-3,0.99605238,4,0.00058003,0,-0.00217203,0.0002308,0.00010903
150,406,-0.42187142,-3.41725039,0,-3,0.99600947,4,0.00048079,0,-0.00215523,0.00025101,0.00016649
152,406,-0.42560744,-3.41610575,0,-3,0.99592513,4,0.00070462,0,-0.00212642,0.0002761,0.00023818
154,406,-0.43097568,-3.41197443,0,-3,0.99578357,4,0.00031003,0,-0.0021102,0.00031109,0.00031406
156,406,-0.43382865,-3.40881562,0,-3,0.99566734,4,0.00059324,0,-0.00208742,0.0003589,0.00040065
158,406,-0.43876326,-3.40326571,0,-3,0.99569398,4,0.00043461,0,-0.00205466,0.0004154,0.00049462
160,406,-0.44213697,-3.39757609,0,-3,0.99550837,4,0.00054132,0,-0.00199478,0.0004844,0.00058614
