x,y,u,ux,uy,v,vx,vy
224,258,-0.4554655,-0.00079918,-0.00065895,-3.53056598,-0.00006817,0.0030179
226,258,-0.45863235,-0.00088716,-0.00037626,-3.53114033,0.00011292,0.00293934
228,258,-0.4589746,-0.00081867,-0.00042512,-3.53365993,-0.00011176,0.00291121
30,260,-0.39181581,-0.00024438,0.00066964,-3.48248935,-0.00059947,0.00322354
32,260,-0.39249659,-0.00003773,0.00052631,-3.48364329,-0.00061846,0.00326645
34,260,-0.39456069,-0.00002789,0.00037268,-3.48531294,-0.00070981,0.00314069
36,260,-0.39473575,-0.00046432,0.00060048,-3.4849236,-0.00076591,0.00318611
38,260,-0.39495212,-0.00037706,0.00063702,-3.48578334,-0.00071368,0.00325942
40,260,-0.39549059,-0.00039965,0.00058987,-3.48634553,-0.00089793,0.00327575
42,260,-0.39521292,-0.00054115,0.00063608,-3.48817539,-0.00089448,0.0035367
44,260,-0.39843309,-0.00030959,0.00089578,-3.49120069,-0.00065363,0.00342619
46,260,-0.39883074,-0.00029331,0.00083303,-3.49292397,-0.00064313,0.00343084
48,260,-0.40074664,-0.00054729,0.00073621,-3.49345756,-0.00056357,0.00342476
50,260,-0.4016881,-0.00037152,0.00106307,-3.49527526,-0.00059846,0.003425
52,260,-0.40281439,-0.00046295,0.00115181,-3.49693942,-0.00052641,0.00339031
54,260,-0.40438762,-0.00042683,0.00120824,-3.49818397,-0.00047324,0.00345814
56,260,-0.40354946,-0.00045222,0.00121788,-3.49819088,-0.0004073,0.00340724
58,260,-0.40425602,-0.00037897,0.001194,-3.49997091,-0.00056915,0.0034523
60,260,-0.40420377,-0.00042588,0.0011866,-3.50124717,-0.00051493,0.00356865
62,260,-0.40723076,-0.00037742,0.00102731,-3.50276184,-0.0006622,0.00336623
64,260,-0.40761724,-0.00029707,0.00101871,-3.50250411,-0.00068664,0.00337756
66,260,-0.40581658,-0.00002199,0.00136686,-3.50511575,-0.00088993,0.00315511
68,260,-0.40614748,0.00005722,0.0014411,-3.50730538,-0.00099917,0.00310779
